Location,Area,BHK,Price
City,950,2,4200000
City,1200,2,5500000
City,1800,3,8200000
City,2400,4,12500000
City,2000,3,9500000
City,1500,3,7800000
City,3000,5,15000000
Village,850,2,2800000
Village,1500,3,4500000
Village,2000,4,6200000
Village,1200,2,3600000
Village,1800,3,5200000
Village,2200,4,7000000
Town,1000,2,3600000
Town,1600,3,6000000
Town,2200,4,8800000
Town,1400,3,5200000
Town,1800,3,6800000
Town,2000,4,8200000
City,1700,3,9000000
Village,1300,2,4000000
Town,1200,2,4400000
City,2100,4,10500000
Village,900,2,3000000
City,2600,4,13500000
Town,1500,3,5500000
Village,1700,3,5700000
City,1900,3,9800000
Town,2000,4,8000000
Village,2100,4,7200000
